ID	Title	Publisher	ISSN_Cross	EISSN_Cross	JrId	JournalTitle	MedAbbr	ISSN_NLM	EISSN_NLM	IsoAbbr	NlmId	wikidata
78779	Revue de géographie de Lyon / Revue de Geographie de Lyon	PERSEE Program	0035-113X		29267	Revue de geographie de Lyon	Rev Geogr Lyon	0035-113X		Rev Geogr Lyon	101089046	
115345	Revue de l Est	PERSEE Program	0035-1415		24647	Revue de l'Est	Rev Est	0035-1415		Rev Est	100969491	
84953	Revue de lhistoire des religions	PERSEE Program	0035-1423	2105-2573	24843	Revue de l'histoire des religions	Rev Hist Relig	0035-1423		Rev Hist Relig	100970005	Q15758259
84954	Revue de l Occident musulman et de la Méditerranée	PERSEE Program	0035-1474		24862	Revue de l'Occident musulman et de la Mediterranee	Rev Occident Musulman Mediterr	0035-1474		Rev Occident Musulman Mediterr	100970034	
80802	Revue de métaphysique et de morale / Revue de Mtaphysique et de Morale	CAIRN	0035-1571	2102-5177	24857	Revue de metaphysique et de morale (Paris, France : 1945)	Rev Metaphys Morale	0035-1571		Rev Metaphys Morale	100970028	Q15763527
71421	Revue de Stomatologie et de Chirurgie Maxillo-faciale	Elsevier	0035-1768		7276	Revue de stomatologie et de chirurgie maxillo-faciale	Rev Stomatol Chir Maxillofac	0035-1768	1776-257X	Rev Stomatol Chir Maxillofac	201010	Q15817792
67218	Revue de Synthèse	Springer-Verlag	0035-1776	1955-2343	23086	Revue de synthese / Centre international de synthese	Rev Synth	0035-1776	1955-2343	Rev Synth	8711586	Q15751407
175826	Revue des Études Grecques / Revue des Etudes Grecques	PERSEE Program	0035-2039		24752	Revue des etudes grecques	Rev Etud Grec	0035-2039		Rev Etud Grec	100969632	Q3428697
189946	Revue des sciences philosophiques et théologiques	CAIRN	0035-2209	2118-4445	24875	Revue des sciences philosophiques et theologiques	Rev Sci Philos Theol	0035-2209		Rev Sci Philos Theol	100970058	Q15763525
100569	Revue d histoire de la pharmacie	PERSEE Program	0035-2349	1775-3864	23400	Revue d'histoire de la pharmacie	Rev Hist Pharm (Paris)	0035-2349		Rev Hist Pharm (Paris)	204315	Q7318984
175945	Revue d histoire de l Amérique française	Consortium Erudit	0035-2357	1492-1383	24844	Revue d'histoire de l'Amerique francaise	Rev Hist Am Fr	0035-2357		Rev Hist Am Fr	100970006	Q3428642
287304	Revue d Histoire Ecclésiastique	Brepols Publishers, NV	0035-2381		24447	Revue d'histoire ecclesiastique	Rev Hist Eccles	0035-2381		Rev Hist Eccles	100969025	Q3428649
80785	Revue d histoire littéraire de la France / Revue d Histoire Littraire de la France	CAIRN	0035-2411	2105-2689	24835	Revue d'histoire litteraire de la France	Rev Hist Litt Fr	0035-2411		Rev Hist Litt Fr	100969997	Q15759412
267616	Revue du Nord	CAIRN	0035-2624	2271-7005	24860	Revue du Nord	Rev Nord	0035-2624		Rev Nord	100970032	
48741	Revue Francaise d& apos Allergologie	Elsevier	0035-2845		7111	Revue francaise d'allergologie	Rev Fr Allergol	0035-2845		Rev Fr Allergol	426573	
80801	Revue française de psychanalyse	CAIRN	0035-2942	2105-2964	7120	Revue francaise de psychanalyse	Rev Fr Psychanal	0035-2942		Rev Fr Psychanal	2984777R	Q15765089
78839	Revue française de science politique	CAIRN	0035-2950	1950-6686	29269	Revue francaise de science politique	Rev Fr Sci Polit	0035-2950		Rev Fr Sci Polit	101089089	Q15760596
56871	Revue Française de Sociologie	PERSEE Program	0035-2969	1958-5691	28324	Revue francaise de sociologie	Rev Fr Sociol	0035-2969		Rev Fr Sociol	56011	Q15760450
49280	Revue Française de Transfusion	Elsevier	0035-2977		7121	Revue francaise de transfusion	Rev Fr Transfus	0035-2977		Rev Fr Transfus	7509498	
234861	Revue générale de droit	Consortium Erudit	0035-3086	2292-2512	26238	Revue generale de droit	Rev Gen Droit	0035-3086		Rev Gen Droit	100972388	
266788	Revue Géographique de l Est	PERSEE Program	0035-3213		28918	Revue geographique de l'Est	Rev Geogr Est	0035-3213		Rev Geogr Est	101086308	
238108	Revue géographique des Pyrénées et du Sud-Ouest	PERSEE Program	0035-3221		28696	Revue geographique des Pyrenees et du Sud-Ouest	Rev Geogr Pyren Sud Ouest	0035-3221		Rev Geogr Pyren Sud Ouest	101085579	
80784	Revue historique	CAIRN	0035-3264	2104-3825	24888	Revue historique (Paris, France)	Rev Hist (Paris)	0035-3264		Rev Hist (Paris)	100970021	Q3428740
