ID	Title	Publisher	ISSN_Cross	EISSN_Cross	JrId	JournalTitle	MedAbbr	ISSN_NLM	EISSN_NLM	IsoAbbr	NlmId	wikidata
157228	The Personnel and Guidance Journal	Wiley Blackwell (John Wiley & Sons)	0031-5737		25837	The Personnel and guidance journal	Pers Guid J	0031-5737		Pers Guid J	19540500R	
31577	Personnel Psychology	Wiley Blackwell (Blackwell Publishing)	0031-5826	1744-6570	39143	Personnel psychology	Pers Psychol	0031-5826	1744-6570	Pers Psychol	253023	Q15752665
72459	Persoonia - Molecular Phylogeny and Evolution of Fungi	Naturalis Biodiversity Center	0031-5850		30343	Persoonia	Persoonia	0031-5850	1878-9080	Persoonia	19540520R	Q2417375
30918	Perspectives In Psychiatric Care	Wiley Blackwell (Blackwell Publishing)	0031-5990	1744-6163	6423	Perspectives in psychiatric care	Perspect Psychiatr Care	0031-5990	1744-6163	Perspect Psychiatr Care	401133	Q15758359
220	Pesticide Science	Wiley Blackwell (John Wiley & Sons)	0031-613X	1096-9063	20276	Pesticide science		0031-613X		Pestic. Sci.	365576	Q1828807
709	Pflügers Archiv - European Journal of Physiology	Springer-Verlag	0031-6768	1432-2013	6426	Pflugers Archiv : European journal of physiology	Pflugers Arch	0031-6768	1432-2013	Pflugers Arch.	154720	Q1091689
2380	Pharmaceutica Acta Helvetiae	Elsevier	0031-6865		6432	Pharmaceutica acta Helvetiae	Pharm Acta Helv	0031-6865		Pharm Acta Helv	401134	
10356	YAKUGAKU ZASSHI	Pharmaceutical Society of Japan	0031-6903	1347-5231	5165	Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan	Yakugaku Zasshi	0031-6903	1347-5231	Yakugaku Zasshi	413613	Q15758172
246326	Pharmaceutisch Weekblad	Springer-Verlag	0031-6911	1573-739X	6435	Pharmaceutisch weekblad	Pharm Weekbl	0031-6911		Pharm Weekbl	401211	Q15750668
964	European Journal of Clinical Pharmacology	Springer-Verlag	0031-6970	1432-1041	3612	European journal of clinical pharmacology	Eur J Clin Pharmacol	0031-6970	1432-1041	Eur. J. Clin. Pharmacol.	1256165	Q1376707
31877	Pharmacological Research Communications	Elsevier	0031-6989		6440	Pharmacological research communications	Pharmacol Res Commun	0031-6989	1879-2936	Pharmacol Res Commun	236354	
12179	Pharmacological Reviews	American Society for Pharmacology & Experimental Therapeutics	0031-6997	1521-0081	6441	Pharmacological reviews	Pharmacol Rev	0031-6997	1521-0081	Pharmacol. Rev.	421737	Q2085079
9145	Pharmacology	S. Karger AG	0031-7012	1423-0313	6444	Pharmacology	Pharmacology	0031-7012	1423-0313	Pharmacology	152016	Q15759653
254170	Phi Delta Kappan	SAGE Publications	0031-7217	1940-6487	28713	Phi Delta Kappan	Phi Delta Kappan	0031-7217		Phi Delta Kappan	101085558	Q15764519
84291	Philippine Sociological Review	PhilJOL	0031-7810		28704	Philippine sociological review	Philipp Sociol Rev	0031-7810		Philipp Sociol Rev	101085501	Q15749830
76588	Philippine Studies	Ateneo de Manila University	0031-7837		24746	Philippine studies	Philipp Stud	0031-7837		Philipp Stud	100969730	Q15734620
75758	Philologus	Oldenbourg Wissenschaftsverlag	0031-7985	2196-7008	24750	Philologus	Philologus	0031-7985		Philologus	100969736	Q1248438
66434	Philosophia Naturalis	Vittorio Klostermann GMBH	0031-8027	1439-2607	24751	Philosophia naturalis	Philos Nat	0031-8027		Philos Nat	100969738	Q15762115
14212	The Philosophical Forum	Wiley Blackwell (Blackwell Publishing)	0031-806X	1467-9191	26432	The Philosophical forum	Philos Forum	0031-806X		Philos Forum	100972845	Q7756926
14214	The Philosophical Quarterly	Oxford University Press	0031-8094	1467-9213	25989	The Philosophical quarterly	Philos Q	0031-8094		Philos Q	100971905	Q3482510
59350	Philosophical Review	Duke University Press	0031-8108	1558-1470	24766	The Philosophical review	Philos Rev	0031-8108		Philos Rev	100969762	Q1817560
2880	Philosophical Studies	Springer-Verlag	0031-8116	1573-0883	26291	Philosophical studies	Philos Stud	0031-8116	1573-0883	Philos Stud	100972575	Q3381196
6031	Philosophy	Cambridge University Press	0031-8191	1469-817X	25101	Philosophy (London, England)	Philosophy	0031-8191	1469-817X	Philosophy	100970492	Q7186208
55451	Philosophy and Phenomenological Research	Wiley Blackwell (Blackwell Publishing)	0031-8205	1933-1592	24765	Philosophy and phenomenological research	Philos Phenomenol Res	0031-8205	1933-1592	Philos Phenomenol Res	100969758	Q3381241
46372	Philosophy East and West	Muse - Johns Hopkins University Press	0031-8221	1529-1898	26434	Philosophy East & West	Philos East West	0031-8221		Philos East West	100972847	Q7186211
10936	Philosophy of Science	The University of Chicago Press	0031-8248	1539-767X	25705	Philosophy of science	Philos Sci	0031-8248		Philos Sci	19620490R	Q1739521
14840	Phonetica	S. Karger AG	0031-8388	1423-0321	6455	Phonetica	Phonetica	0031-8388	1423-0321	Phonetica	376424	Q2476754
23837	Photochemistry and Photobiology	Wiley Blackwell (Blackwell Publishing)	0031-8655	0031-8655	6457	Photochemistry and photobiology	Photochem Photobiol	0031-8655	1751-1097	Photochem. Photobiol.	376425	Q3381560
16436	Phronesis	Brill Academic Publishers	0031-8868	1568-5284	40137	Phronesis	Phronesis	0031-8868	1568-5284	Phronesis	101582396	Q15814210
63491	Phycologia	International Phycological Society	0031-8884		8592	Phycologia	Phycologia	0031-8884		Phycologia	46550	Q15756146
55453	Phylon (1960-)	JSTOR	0031-8906		24770	Phylon (1960)	Phylon	0031-8906		Phylon	100969769	
135	physica status solidi (a)	Wiley Blackwell (John Wiley & Sons)	0031-8965	1521-396X	34260	Physica status solidi (A): Applied research	Physica Status Solidi A Appl Res	0031-8965		Physica Status Solidi A Appl Res	404075	Q2465041
5207	Physical Review	American Physical Society	0031-899X	1536-6065	44198	The Physical review	Phys Rev	0031-899X	1536-6065	Phys Rev	242473	
5204	Physical Review Letters	American Physical Society	0031-9007	1079-7114	21217	Physical review letters	Phys Rev Lett	0031-9007	1079-7114	Phys. Rev. Lett.	401141	Q2018386
61509	Physical Therapy	American Physical Therapy Association	0031-9023	1538-6724	6461	Physical therapy	Phys Ther	0031-9023	1538-6724	Phys Ther	22623	Q15763171
4912	Physics in Medicine and Biology	IOP Publishing	0031-9155	1361-6560	6459	Physics in medicine and biology	Phys Med Biol	0031-9155	1361-6560	Phys Med Biol	401220	Q7189694
62870	Physics Today / Physics Today Online	American Institute of Physics	0031-9228	1945-0699	22718	Physics today	Phys Today	0031-9228		Phys Today	19630090R	Q1088523
3316	Physiologia Plantarum	Wiley Blackwell (Blackwell Publishing)	0031-9317	1399-3054	8676	Physiologia plantarum	Physiol Plant	0031-9317	1399-3054	Physiol Plant	1256322	Q7189709
22948	Physiological Reviews	American Physiological Society	0031-9333	1522-1210	6469	Physiological reviews	Physiol Rev	0031-9333	1522-1210	Physiol. Rev.	231714	Q1091827
266486	Physiological Zoology	The University of Chicago Press	0031-935X	0031-935X	20664	Physiological zoology	Physiol Zool	0031-935X		Physiol. Zool.	401142	Q1092269
1633	Physiology & Behavior	Elsevier	0031-9384		6462	Physiology & behavior	Physiol Behav	0031-9384	1873-507X	Physiol. Behav.	151504	Q3618986
23567	Physiotherapy	Elsevier	0031-9406		6472	Physiotherapy	Physiotherapy	0031-9406	1873-1465	Physiotherapy	401223	Q15750416
1285	Phytochemistry / Phytochemistry (Elsevier)	Elsevier	0031-9422		1555	Phytochemistry	Phytochemistry	0031-9422	1873-3700	Phytochemistry	151434	Q1884753
67374	Japanese Journal of Phytopathology	The Phytopathological Society of Japan	0031-9473	1882-0484	21210	Nihon Shokubutsu Byori Gakkaiho = Annals of the Phytopathological Society of Japan		0031-9473	1882-0484	Nippon Shokubutsu Byori Gakkaiho	100955506	
60948	Phytopathology / The American Phytopathological Society	Scientific Societies	0031-949X	0031-949X	6473	Phytopathology	Phytopathology	0031-949X	1943-7684	Phytopathology	9427222	Q15757832
236966	Plains Anthropologist	Maney Publishing	0032-0447	2052-546X	23399	Plains anthropologist	Plains Anthropol	0032-0447		Plains Anthropol	200722	Q15764420
1745	Planetary and Space Science	Elsevier	0032-0633		22605	Planetary and space science	Planet Space Sci	0032-0633		Planet Space Sci	100971414	Q2462022
5074	Plant and Cell Physiology	Oxford University Press	0032-0781	1471-9053	8494	Plant & cell physiology	Plant Cell Physiol	0032-0781	1471-9053	Plant Cell Physiol.	9430925	Q2402845
2803	Plant and Soil	Springer-Verlag	0032-079X	1573-5036	20328	Plant and soil	Plant Soil	0032-079X	1573-5036	Plant Soil	9882808	Q2798768
3619	Plant Pathology	Wiley Blackwell (Blackwell Publishing)	0032-0862	1365-3059	20731	Plant pathology	Plant Pathol	0032-0862	1365-3059	Plant Pathol.	9883944	Q4451081
5211	PLANT PHYSIOLOGY	American Society of Plant Biologists	0032-0889	0032-0889	6478	Plant physiology	Plant Physiol	0032-0889	1532-2548	Plant Physiol.	401224	Q3906288
783	Planta / Planta Berl	Springer-Verlag	0032-0935	1432-2048	2296	Planta	Planta	0032-0935	1432-2048	Planta	1250576	Q15762724
4045	Planta Medica	Thieme Publishing Group	0032-0943	1439-0221	6480	Planta medica	Planta Med	0032-0943	1439-0221	Planta Med.	66751	Q7201551
21241	Plastic & Reconstructive Surgery	Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins	0032-1052		6482	Plastic and reconstructive surgery	Plast Reconstr Surg	0032-1052	1529-4242	Plast. Reconstr. Surg.	1306050	Q7202071
30198	Platinum Metals Review	Johnson Matthey	0032-1400	1471-0676	40364	Platinum metals review	Platin Met Rev	0032-1400	1471-0676	Platin Met Rev	101585623	Q3557901
12679	Polar Record	Cambridge University Press	0032-2474	1475-3057	24781	The Polar record	Polar Rec (Gr Brit)	0032-2474		Polar Rec (Gr Brit)	100969796	Q15767444
2884	Policy Sciences	Springer-Verlag	0032-2687	1573-0891	26438	Policy sciences	Policy Sci	0032-2687		Policy Sci	100972851	Q15755463
212185	Polish American Studies	University of Illinois Press	0032-2806	0032-2806	25441	Polish American studies	Pol Am Stud	0032-2806		Pol Am Stud	100969783	
221326	The Polish Review	University of Illinois Press	0032-2970	0032-2970	24776	The Polish review	Pol Rev	0032-2970		Pol Rev	100969790	Q7757649
14218	The Political Quarterly	Wiley Blackwell (Blackwell Publishing)	0032-3179	1467-923X	26440	The Political quarterly	Polit Q	0032-3179		Polit Q	100972854	Q7757663
93627	Political Science	SAGE Publications	0032-3187	2041-0611	24779	Political science (Wellington, N.Z.)	Polit Sci	0032-3187		Polit Sci	100969794	Q7210233
55336	Political Science Quarterly	Wiley Blackwell (John Wiley & Sons)	0032-3195		24830	Political science quarterly	Polit Sci Q	0032-3195		Polit Sci Q	100969869	Q7210236
5484	Political Studies	Wiley Blackwell (Blackwell Publishing)	0032-3217	1467-9248	24806	Political studies	Polit Stud (Oxf)	0032-3217		Polit Stud (Oxf)	100969871	Q7210238
295838	Politická ekonomie	University of Economics	0032-3233	0032-3233	28698	Politicka ekonomie	Polit Ekon	0032-3233		Polit Ekon	101085584	Q15756885
67998	Politics & Society / Politics and Society	SAGE Publications	0032-3292	1552-7514	24801	Politics & society	Polit Soc	0032-3292		Polit Soc	100969870	Q7225165
70300	Politique étrangère	CAIRN	0032-342X	1958-8992	28545	Politique etrangere	Polit Etrang	0032-342X		Polit Etrang	101085073	Q382669
56467	Politische Vierteljahresschrift	Nomos Verlag	0032-3470	0032-3470	24808	Politische Vierteljahresschrift	Polit Vierteljahresschr	0032-3470		Polit Vierteljahresschr	100969875	Q2101528
40099	Polity	Nature Publishing Group - Macmillan Publishers	0032-3497	1744-1684	26444	Polity	Polity	0032-3497		Polity	100972858	Q15751817
74994	Polish Journal of Surgery	De Gruyter Open Sp. z o.o.	0032-373X	0032-373X	6525	Polski przeglad chirurgiczny	Pol Przegl Chir	0032-373X		Pol Przegl Chir	376426	
1454	Polymer / JOURNAL OF POLYMER	Elsevier	0032-3861		33172	Polymer	Polymer (Guildf)	0032-3861		Polymer (Guildf)	357015	Q3395619
10096	Polymer Journal / POLYM J (TOKYO)	Nature Publishing Group	0032-3896	1349-0540	38535	Polymer journal	Polym J	0032-3896	1349-0540	Polym J	101535832	Q3907754
55454	Population	CAIRN	0032-4663	1957-7966	30460	Population	Population (Paris)	0032-4663		Population (Paris)	224156	Q15304703
55461	Population Index	JSTOR	0032-4701		27665	Population index	Popul Index	0032-4701		Popul Index	58920110R	
18038	Population Studies	Informa UK (Taylor & Francis)	0032-4728	1477-4747	23244	Population studies	Popul Stud (Camb)	0032-4728	1477-4747	Popul Stud (Camb)	376427	Q15765522
5577	Postgraduate Medical Journal	BMJ	0032-5473	1469-0756	6559	Postgraduate medical journal	Postgrad Med J	0032-5473	1469-0756	Postgrad Med J	234135	Q7234294
77839	Postgraduate Medicine	Informa UK (Taylor & Francis)	0032-5481	1941-9260	6558	Postgraduate medicine	Postgrad Med	0032-5481	1941-9260	Postgrad Med	401147	Q7234297
69918	Poultry Science	Oxford University Press	0032-5791	1525-3171	6560	Poultry science	Poult Sci	0032-5791	1525-3171	Poult. Sci.	401150	Q1999242
1289	Powder Technology	Elsevier	0032-5910		41062	Powder technology	Powder Technol	0032-5910	1873-328X	Powder Technol	9887892	Q15750389
146094	Preparative Biochemistry	Informa UK (Taylor & Francis)	0032-7484		6589	Preparative biochemistry	Prep Biochem	0032-7484		Prep. Biochem.	1276634	Q15753409
267613	Présence Africaine	CAIRN	0032-7638	2271-197X	24759	Presence africaine (Paris, France : 1967)	Presence Afr	0032-7638		Presence Afr	100969798	Q3409088
21798	Primates / Primates journal of primatology	Springer-Verlag	0032-8332	1016-7365	20696	Primates; journal of primatology	Primates	0032-8332	1610-7365	Primates	401152	Q7243201
15227	The Prison Journal / Prison journal (Philadelphia Pa )	SAGE Publications	0032-8855	1552-7522	33385	The Prison journal	Prison J	0032-8855		Prison J	9879946	Q7758378
289886	Problems in Economics	Informa UK (Taylor & Francis)	0032-9436		28442	Problems of economics	Probl Econ	0032-9436		Probl Econ	101084585	Q15749673
54501	Journal of Ichthyology	Pleiades Publishing	0032-9452	1555-6425	34520	Journal of ichthyology		0032-9452	1531-8486	J Ichthyol	1256556	Q15761376
20796	The Professional Geographer	Informa UK (Taylor & Francis)	0033-0124	1467-9272	24562	The Professional geographer : the journal of the Association of American Geographers	Prof Geogr	0033-0124		Prof Geogr	100969256	Q7758480
56333	Professional Psychology	American Psychological Association	0033-0175		25922	Professional psychology	Prof Psychol	0033-0175		Prof Psychol	237062	
3901	Progress in Cardiovascular Diseases	Elsevier	0033-0620		6692	Progress in cardiovascular diseases	Prog Cardiovasc Dis	0033-0620	1873-1740	Prog Cardiovasc Dis	376442	Q2635289
14337	Prospects	Springer-Verlag	0033-1538	1573-9090	43797	Prospects	Prospects (Paris)	0033-1538	1573-9090	Prospects (Paris)	101656637	Q15753990
267866	Prosthodontics / Protet Stomatol	Index Copernicus International	0033-1783		6728	Protetyka stomatologiczna	Protet Stomatol	0033-1783		Protet Stomatol	45533	
13919	PROTOPLASMA	Springer-Verlag	0033-183X	1615-6102	6729	Protoplasma	Protoplasma	0033-183X	1615-6102	Protoplasma	9806853	Q15765986
162625	Przegld Geograficzny	Institute of Geography and Spatial Organization, Polish Academy of Sciences	0033-2143		28506	Przeglad geograficzny. Polskii geograficheskii obzor. Polish geographical review. Revue polonaise de geographie	Prz Geogr	0033-2143		Prz Geogr	101084880	Q15817336
255859	Dermatology Review	Termedia Sp. z.o.o.	0033-2526		6730	Przeglad dermatologiczny	Przegl Dermatol	0033-2526		Przegl Dermatol	19840710R	
74357	Psyche A Journal of Entomology	Hindawi Publishing Corporation	0033-2615	1687-7438	33917	Psyche; a journal of entomology	Psyche (Camb Mass)	0033-2615		Psyche (Camb Mass)	401155	Q2071295
222005	Psychiatria Polska	Komitet Redakcyjno - Wydawniczy Polskiego Towarzystwa Psychiatrycznego	0033-2674	2391-5854	6759	Psychiatria polska	Psychiatr Pol	0033-2674	2391-5854	Psychiatr. Pol.	103314	Q11830678
201886	Psychiatric News	American Psychiatric Publishing	0033-2704	1559-1255	6762	Psychiatric news	Psychiatr News	0033-2704	1559-1255	Psychiatr News	226533	
3155	Psychiatric Quarterly	Springer-Verlag	0033-2720	1573-6709	6761	The Psychiatric quarterly	Psychiatr Q	0033-2720	1573-6709	Psychiatr Q	376465	Q7256226
50778	Psychiatry / Psychiatry Interpersonal & Biological Processes	Informa UK (Taylor & Francis)	0033-2747	1943-281X	6768	Psychiatry	Psychiatry	0033-2747	1943-281X	Psychiatry	376470	Q15760563
196225	The Psychoanalytic Quarterly	Wiley Blackwell (John Wiley & Sons)	0033-2828		6771	The Psychoanalytic quarterly	Psychoanal Q	0033-2828	2167-4086	Psychoanal Q	226661	Q7758663
20606	The Psychoanalytic Review	Guilford Publications	0033-2836		6772	Psychoanalytic review	Psychoanal Rev	0033-2836	1943-3301	Psychoanal Rev	401156	Q15757173
32197	PSYCHOLOGIA / An International Journal of Psychological Sciences	Psychologia Society	0033-2852	1347-5916	35210	Psychologia : an international journal of psychology in the Orient	Psychologia	0033-2852	1347-5916	Psychologia	1267627	Q15766795
236078	Psychologica Belgica	Ubiquity Press, Ltd.	0033-2879	2054-670X	27952	Psychologica Belgica	Psychol Belg	0033-2879	2054-670X	Psychol Belg	67335	Q15734353
3384	Psychological Bulletin	American Psychological Association	0033-2909	1939-1455	6774	Psychological bulletin	Psychol Bull	0033-2909	1939-1455	Psychol Bull	376473	Q1634280
6045	Psychological Medicine	Cambridge University Press	0033-2917	1469-8978	6777	Psychological medicine	Psychol Med	0033-2917	1469-8978	Psychol Med	1254142	Q7256364
204147	The Psychological Record	Springer-Verlag	0033-2933	2163-3452	22495	The Psychological record	Psychol Rec	0033-2933	2163-3452	Psychol Rec	243242	Q15761787
53161	Psychological Reports	Ammons Scientific	0033-2941	1558-691X	6781	Psychological reports	Psychol Rep	0033-2941		Psychol Rep	376475	Q7256366
3395	Psychological Review	American Psychological Association	0033-295X	1939-1471	6783	Psychological review	Psychol Rev	0033-295X	1939-1471	Psychol Rev	376476	Q7256370
84627	Psychological Studies	Springer-Verlag	0033-2968	0974-9861	27955	Psychological studies	Psychol Stud (Mysore)	0033-2968		Psychol Stud (Mysore)	64145	
9352	Psychologische Rundschau	Hogrefe & Huber Publishing Group	0033-3042	2190-6238	23245	Psychologische Rundschau; Ueberblick uber die Fortschritte der Psychologie in Deutschland, Oesterreich, und der Schweiz	Psychol Rundsch	0033-3042		Psychol Rundsch	376502	Q1250962
254	Psychology in the Schools	Wiley Blackwell (John Wiley & Sons)	0033-3085	1520-6807	25799	Psychology in the schools	Psychol Sch	0033-3085		Psychol Sch	42715	Q15716395
45801	Psychometrika	Springer-Verlag	0033-3123	1860-0980	6784	Psychometrika	Psychometrika	0033-3123	1860-0980	Psychometrika	376503	Q15763408
230386	Psychonomic Science	Springer - Psychonomic Society	0033-3131	2197-9952	27846	Psychonomic science	Psychon Sci	0033-3131		Psychon Sci	360135	Q15765928
720	Psychopharmacology / Psychopharmacology (Berl )	Springer-Verlag	0033-3158	1432-2072	6790	Psychopharmacology	Psychopharmacology (Berl)	0033-3158	1432-2072	Psychopharmacology (Berl.)	7608025	Q1422802
12936	Psychosomatic Medicine	Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins	0033-3174	1534-7796	6793	Psychosomatic medicine	Psychosom Med	0033-3174	1534-7796	Psychosom Med	376505	Q7256492
5978	Psychosomatics	Elsevier	0033-3182		6794	Psychosomatics	Psychosomatics	0033-3182	1545-7206	Psychosomatics	376506	Q7256494
9142	Psychotherapy and Psychosomatics	S. Karger AG	0033-3190	1423-0348	6798	Psychotherapy and psychosomatics	Psychother Psychosom	0033-3190	1423-0348	Psychother Psychosom	24046	Q15767307
14199	Public Administration	Wiley Blackwell (Blackwell Publishing)	0033-3298	1467-9299	23332	Public administration	Public Adm	0033-3298		Public Adm	19920220R	Q7257301
14224	Public Administration Review / Special issue Public Administration Review	Wiley Blackwell (Blackwell Publishing)	0033-3352	1540-6210	6804	Public administration review	Public Adm Rev	0033-3352		Public Adm Rev	45715	Q2592874
3426	Public Health	Elsevier	0033-3506		6800	Public health	Public Health	0033-3506	1476-5616	Public Health	376507	Q15761423
5080	Public Health Reports / Public health reports (Washington D C 1974)	Elsevier	0033-3549	1468-2877	6807	Public health reports (Washington, D.C. : 1974)	Public Health Rep	0033-3549	1468-2877	Public Health Rep	9716844	Q15761421
4888	Public Opinion Quarterly	Oxford University Press	0033-362X	1537-5331	6803	Public opinion quarterly	Public Opin Q	0033-362X	1537-5331	Public Opin Q	19930130R	Q7257479
50311	Pneumonologie	Springer-Verlag	0033-4073		6501	Pneumonologie. Pneumonology	Pneumonologie	0033-4073		Pneumonologie	1250075	
36861	Pure and Applied Chemistry	Walter de Gruyter GmbH	0033-4545	1365-3075	6812	Pure and applied chemistry. Chimie pure et appliquee	Pure Appl Chem	0033-4545		Pure Appl. Chem.	376514	Q2425378
20758	Quality & Quantity	Springer-Verlag	0033-5177	1573-7845	29889	Quality & quantity	Qual Quant	0033-5177		Qual Quant	1245762	Q7268714
5747	The Quarterly Journal of Economics	Oxford University Press	0033-5533	1531-4650	22958	The quarterly journal of economics	Q J Econ	0033-5533	1531-4650	Q J Econ	9879565	Q2066504
265229	Quarterly Journal of Experimental Physiology and Cognate Medical Sciences	Wiley Blackwell (Blackwell Publishing)	0033-5541		6813	Quarterly journal of experimental physiology and cognate medical sciences	Q J Exp Physiol Cogn Med Sci	0033-5541		Q J Exp Physiol Cogn Med Sci	404466	
147005	Quarterly Journal of Experimental Psychology	Informa UK (Taylor & Francis)	0033-555X		6815	The Quarterly journal of experimental psychology	Q J Exp Psychol	0033-555X		Q J Exp Psychol	401241	
17928	Quarterly Journal of Speech	Informa UK (Taylor & Francis)	0033-5630	1479-5779	25733	The Quarterly journal of speech	Q J Speech	0033-5630		Q J Speech	413726	Q7269302
12338	The Quarterly Review of Biology	The University of Chicago Press	0033-5770	1539-7718	6824	The Quarterly review of biology	Q Rev Biol	0033-5770	1539-7718	Q Rev Biol	376515	Q2367751
6106	Quarterly Reviews of Biophysics	Cambridge University Press	0033-5835	1469-8994	6825	Quarterly reviews of biophysics	Q Rev Biophys	0033-5835	1469-8994	Q. Rev. Biophys.	144032	Q2361372
577	Quaternary Research	Elsevier	0033-5894	1096-0287	44421	Quaternary research	Quat Res	0033-5894	1096-0287	Quat Res	101668806	Q7269557
138010	Radiation Effects	Informa UK (Taylor & Francis)	0033-7579		22499	Radiation effects	Radiat Eff	0033-7579		Radiat Eff	254007	
57409	Radiation Research	BioOne (Radiation Research Society)	0033-7587	1938-5404	6844	Radiation research	Radiat Res	0033-7587	1938-5404	Radiat. Res.	401245	Q2446628
179005	Radiocarbon	University of Arizona	0033-8222	0033-8222	22608	Radiocarbon	Radiocarbon	0033-8222		Radiocarbon	100971450	Q15761330
21298	Radiochimica Acta	Oldenbourg Wissenschaftsverlag	0033-8230	2193-3405	41740	Radiochimica acta	Radiochim Acta	0033-8230	2193-3405	Radiochim Acta	50556	Q2126419
71558	RADIOISOTOPES / Radioisotopes (Tokyo)	Japan Radioisotope Association	0033-8303	1884-4111	6962	Radioisotopes	Radioisotopes	0033-8303	1884-4111	Radioisotopes	20010290R	
925	Der Radiologe	Springer-Verlag	0033-832X	1432-2102	6858	Der Radiologe	Radiologe	0033-832X	1432-2102	Radiologe	401257	Q15763177
80967	Radiología / Radiologia	Elsevier	0033-8338		31120	Radiologia	Radiologia	0033-8338		Radiologia	120775	
54284	La radiologia medica	Springer-Verlag	0033-8362	1826-6983	6970	La Radiologia medica	Radiol Med	0033-8362	1826-6983	Radiol Med	177625	
45185	Radiologic Clinics of North America	Elsevier	0033-8389		6854	Radiologic clinics of North America	Radiol Clin North Am	0033-8389	1557-8275	Radiol. Clin. North Am.	123703	Q15755454
60408	Radiology	Radiological Society of North America	0033-8419	1527-1315	6859	Radiology	Radiology	0033-8419	1527-1315	Radiology	401260	Q3285690
16921	Radioprotection	EDP Sciences	0033-8451	1769-700X	22489	Radioprotection	Radioprotection	0033-8451		Radioprotection	110554	
14230	Ratio	Wiley Blackwell (Blackwell Publishing)	0034-0006	1467-9329	40595	Ratio	Ratio (Oxf)	0034-0006	1467-9329	Ratio (Oxf)	101590561	Q7295733
92566	Raumforschung und Raumordnung	Springer-Verlag	0034-0111	1869-4179	28450	Raumforschung und Raumordnung	Raumforsch Raumordn	0034-0111		Raumforsch Raumordn	101084675	
193905	Reading Research Quarterly	Wiley Blackwell (John Wiley & Sons)	0034-0553	1936-2722	36852	Reading research quarterly	Read Res Q	0034-0553	1936-2722	Read Res Q	9881215	Q7300555
36120	The Reading Teacher	Wiley Blackwell (John Wiley & Sons)	0034-0561		36850	The Reading teacher	Read Teach	0034-0561	1936-2714	Read Teach	241423	Q7759548
180227	Recherches sociographiques	Consortium Erudit	0034-1282	1705-6225	25438	Recherches sociographiques	Rech Sociogr	0034-1282		Rech Sociogr	100969442	
4229	Regional Studies	Informa UK (Taylor & Francis)	0034-3404	1360-0591	28483	Regional studies	Reg Stud	0034-3404		Reg Stud	101084743	Q15733775
4034	Die Rehabilitation	Thieme Publishing Group	0034-3536	1439-1309	6898	Die Rehabilitation	Rehabilitation (Stuttg)	0034-3536	1439-1309	Rehabilitation (Stuttg)	401273	
70826	Rehabilitation Counseling Bulletin	SAGE Publications	0034-3552	1538-4853	25761	Rehabilitation counseling bulletin	Rehabil Couns Bull	0034-3552	1538-4853	Rehabil Couns Bull	320766	Q7309744
4447	Religious Education	Informa UK (Taylor & Francis)	0034-4087	1547-3201	26453	Religious education (Chicago, Ill.)	Relig Educ	0034-4087		Relig Educ	100972887	Q15755032
1873	Remote Sensing of Environment	Elsevier	0034-4257		39696	Remote sensing of environment	Remote Sens Environ	0034-4257	1879-0704	Remote Sens Environ	101572538	Q15757754
55455	Renaissance Quarterly	The University of Chicago Press	0034-4338	1935-0236	23285	Renaissance quarterly	Renaiss Q	0034-4338		Renaiss Q	126513	Q15754660
4907	Reports on Progress in Physics	IOP Publishing	0034-4885	1361-6633	36406	Reports on progress in physics. Physical Society (Great Britain)	Rep Prog Phys	0034-4885	1361-6633	Rep Prog Phys	19620690R	Q2181909
3835	Research in Veterinary Science	Elsevier	0034-5288		6920	Research in veterinary science	Res Vet Sci	0034-5288	1532-2661	Res. Vet. Sci.	401300	Q15761718
836	Researches on Population Ecology / Researches on Population Ecology (Kyoto)	Springer-Verlag	0034-5466	1437-5613	28179	Researches on population ecology	Res Popul Ecol (Kyoto)	0034-5466		Res Popul Ecol (Kyoto)	242271	Q15754511
1851	Respiration Physiology	Elsevier	0034-5687		6926	Respiration physiology	Respir Physiol	0034-5687		Respir Physiol	47142	
193826	Reumatologia/Rheumatology / Reumatologia / Rheumatology	Termedia Sp. z.o.o.	0034-6233		6936	Reumatologia	Reumatologia	0034-6233		Reumatologia	20130190R	
67436	The Review of Black Political Economy	Springer-Verlag	0034-6446	1936-4814	28901	The Review of Black political economy	Rev Black Polit Econ	0034-6446		Rev Black Polit Econ	101086280	Q15763589
56705	The Review of Economic Studies	Oxford University Press	0034-6527	1467-937X	28614	The Review of economic studies	Rev Econ Stud	0034-6527	1467-937X	Rev Econ Stud	101085345	Q980796
55151	Review of Economics and Statistics	MIT Press	0034-6535	1530-9142	7057	The review of economics and statistics	Rev Econ Stat	0034-6535	1530-9142	Rev Econ Stat	9877925	Q1107852
55456	Review of Educational Research	American Educational Research Association	0034-6543	1935-1046	33171	Review of educational research	Rev Educ Res	0034-6543		Rev Educ Res	20130240R	Q7318370
14240	Review of Income and Wealth	Wiley Blackwell (Blackwell Publishing)	0034-6586	1475-4991	41254	The Review of income and wealth	Rev Income Wealth	0034-6586	1475-4991	Rev Income Wealth	101604375	Q7318374
